name,frequency,count
mayocat,1,0.8077
mayocat,2,0.1403
mayocat,3,0.029
mayocat,4,0.011
mayocat,5,0.006
mayocat,6,0.003
mayocat,7,0.0012
mayocat,8,0.0007
mayocat,9,0.0004
mayocat,10,0.0003
mayocat,11,0.0002
mayocat,12,0.0001
mayocat,13,0.0001
mayocat,14,0.0
mayocat,15,0.0
mayocat,16,0.0
mayocat,19,0.0
mayocat,20,0.0
TNTConc.,1,0.8784
TNTConc.,2,0.0889
TNTConc.,3,0.0136
TNTConc.,4,0.0129
TNTConc.,5,0.0017
TNTConc.,6,0.0031
TNTConc.,7,0.0007
TNTConc.,8,0.0003
TNTConc.,9,0.0003
petclinic,1,0.6485
petclinic,2,0.1653
petclinic,3,0.0813
petclinic,4,0.0583
petclinic,5,0.0245
petclinic,6,0.0129
petclinic,7,0.0044
petclinic,8,0.0019
petclinic,9,0.0017
petclinic,10,0.0003
petclinic,11,0.0005
petclinic,13,0.0003
sunrise-java,1,0.8405
sunrise-java,2,0.1203
sunrise-java,3,0.0224
sunrise-java,4,0.0087
sunrise-java,5,0.0035
sunrise-java,6,0.002
sunrise-java,7,0.0012
sunrise-java,8,0.0006
sunrise-java,9,0.0002
sunrise-java,10,0.0003
sunrise-java,11,0.0002
sunrise-java,12,0.0001
sunrise-java,14,0.0001
sunrise-java,15,0.0
sunrise-java,16,0.0
sunrise-java,17,0.0
sunrise-java,18,0.0
sunrise-java,19,0.0
sunrise-java,24,0.0
