name,frequency,count
fenixedu-academic,1,0.8612
fenixedu-academic,2,0.0928
fenixedu-academic,3,0.0256
fenixedu-academic,4,0.0101
fenixedu-academic,5,0.0047
fenixedu-academic,6,0.0021
fenixedu-academic,7,0.0011
fenixedu-academic,8,0.0007
fenixedu-academic,9,0.0004
fenixedu-academic,10,0.0003
fenixedu-academic,11,0.0002
fenixedu-academic,12,0.0002
fenixedu-academic,13,0.0001
fenixedu-academic,14,0.0001
fenixedu-academic,15,0.0001
fenixedu-academic,16,0.0
fenixedu-academic,17,0.0
fenixedu-academic,18,0.0
fenixedu-academic,19,0.0
fenixedu-academic,20,0.0
fenixedu-academic,21,0.0
fenixedu-academic,22,0.0
fenixedu-academic,23,0.0
fenixedu-academic,24,0.0
fenixedu-academic,25,0.0
fenixedu-academic,26,0.0
fenixedu-academic,27,0.0
fenixedu-academic,28,0.0
fenixedu-academic,29,0.0
fenixedu-academic,30,0.0
fenixedu-academic,31,0.0
fenixedu-academic,32,0.0
fenixedu-academic,33,0.0
fenixedu-academic,34,0.0
fenixedu-academic,36,0.0
fenixedu-academic,39,0.0
fenixedu-academic,40,0.0
fenixedu-academic,41,0.0
fenixedu-academic,42,0.0
fenixedu-academic,43,0.0
fenixedu-academic,45,0.0
fenixedu-academic,47,0.0
fenixedu-academic,48,0.0
fenixedu-academic,50,0.0
fenixedu-academic,51,0.0
fenixedu-academic,52,0.0
fenixedu-academic,56,0.0
fenixedu-academic,57,0.0
fenixedu-academic,60,0.0
fenixedu-academic,116,0.0
fenixedu-academic,163,0.0
fenixedu-academic,166,0.0
edition,1,0.6901
edition,2,0.1726
edition,3,0.0694
edition,4,0.0294
edition,5,0.0135
edition,6,0.0073
edition,7,0.0048
edition,8,0.0038
edition,9,0.002
edition,10,0.0018
edition,11,0.0015
edition,12,0.0009
edition,13,0.0007
edition,14,0.0005
edition,15,0.0003
edition,16,0.0003
edition,17,0.0003
edition,18,0.0001
edition,19,0.0003
edition,20,0.0001
edition,22,0.0001
edition,23,0.0003
edition,26,0.0001
irida,1,0.6559
irida,2,0.1979
irida,3,0.0598
irida,4,0.0277
irida,5,0.0157
irida,6,0.0109
irida,7,0.0099
irida,8,0.0059
irida,9,0.0041
irida,10,0.0035
irida,11,0.0018
irida,12,0.0015
irida,13,0.0015
irida,14,0.001
irida,15,0.0006
irida,16,0.0004
irida,17,0.0003
irida,18,0.0003
irida,19,0.0002
irida,20,0.0001
irida,21,0.0001
irida,22,0.0001
irida,23,0.0
irida,24,0.0001
irida,25,0.0001
irida,26,0.0
irida,27,0.0001
irida,28,0.0
irida,29,0.0001
irida,30,0.0
irida,31,0.0001
irida,32,0.0
irida,33,0.0
irida,35,0.0001
irida,36,0.0
irida,37,0.0
irida,38,0.0
irida,42,0.0
irida,43,0.0
irida,44,0.0
irida,51,0.0
irida,52,0.0
irida,53,0.0
irida,58,0.0
irida,70,0.0
irida,77,0.0
irida,96,0.0
irida,106,0.0
webofneeds,1,0.7452
webofneeds,2,0.1702
webofneeds,3,0.0438
webofneeds,4,0.0173
webofneeds,5,0.0097
webofneeds,6,0.0047
webofneeds,7,0.0031
webofneeds,8,0.0023
webofneeds,9,0.0014
webofneeds,10,0.0007
webofneeds,11,0.0004
webofneeds,12,0.0002
webofneeds,13,0.0002
webofneeds,14,0.0002
webofneeds,15,0.0001
webofneeds,16,0.0001
webofneeds,17,0.0001
webofneeds,18,0.0001
webofneeds,19,0.0
webofneeds,20,0.0
webofneeds,21,0.0
webofneeds,22,0.0
webofneeds,23,0.0001
webofneeds,25,0.0
webofneeds,26,0.0
webofneeds,27,0.0
webofneeds,28,0.0
webofneeds,29,0.0
webofneeds,32,0.0
webofneeds,35,0.0
webofneeds,43,0.0
cloudunit,1,0.7795
cloudunit,2,0.1383
cloudunit,3,0.0482
cloudunit,4,0.0166
cloudunit,5,0.0067
cloudunit,6,0.003
cloudunit,7,0.0046
cloudunit,8,0.0006
cloudunit,9,0.0006
cloudunit,10,0.0005
cloudunit,11,0.0002
cloudunit,12,0.0002
cloudunit,13,0.0003
cloudunit,14,0.0001
cloudunit,15,0.0
cloudunit,16,0.0001
cloudunit,17,0.0
cloudunit,18,0.0
cloudunit,19,0.0001
cloudunit,22,0.0
cloudunit,23,0.0
cloudunit,24,0.0
cloudunit,25,0.0
cloudunit,26,0.0
cloudunit,34,0.0
splunkwithaws-destination,1,0.6352
splunkwithaws-destination,2,0.1668
splunkwithaws-destination,3,0.0864
splunkwithaws-destination,4,0.04
splunkwithaws-destination,5,0.027
splunkwithaws-destination,6,0.0144
splunkwithaws-destination,7,0.015
splunkwithaws-destination,8,0.0064
splunkwithaws-destination,9,0.0029
splunkwithaws-destination,10,0.0013
splunkwithaws-destination,11,0.0012
splunkwithaws-destination,12,0.0005
splunkwithaws-destination,13,0.0006
splunkwithaws-destination,14,0.0004
splunkwithaws-destination,15,0.0002
splunkwithaws-destination,16,0.0001
splunkwithaws-destination,17,0.0003
splunkwithaws-destination,18,0.0003
splunkwithaws-destination,19,0.0001
splunkwithaws-destination,20,0.0
splunkwithaws-destination,21,0.0
splunkwithaws-destination,22,0.0
splunkwithaws-destination,23,0.0
splunkwithaws-destination,24,0.0
splunkwithaws-destination,26,0.0001
splunkwithaws-destination,29,0.0001
splunkwithaws-destination,30,0.0
splunkwithaws-destination,31,0.0
splunkwithaws-destination,34,0.0
splunkwithaws-destination,35,0.0
splunkwithaws-destination,45,0.0
splunkwithaws-destination,50,0.0
splunkwithaws-destination,56,0.0
splunkwithaws-destination,85,0.0
FengHuang,1,0.8183
FengHuang,2,0.1562
FengHuang,3,0.0216
FengHuang,4,0.0031
FengHuang,5,0.0005
FengHuang,6,0.0002
FengHuang,7,0.0002
