codebase,repository_link,max_commit_hash,
edition,https://github.com/socialsoftware/edition,1b2a2b0cd251443a3ef07da81462f036ce8ecf2f,
webofneeds,https://github.com/researchstudio-sat/webofneeds.git,8fa92d0cd613b68378f9154be6ba6618caee2bff,
cloudunit,https://github.com/Treeptik/cloudunit.git,5079ab85d2998fcc42b4d0a5405231c31f614124,
splunkwithaws-destination,https://github.com/vinothkrishna15/splunkwithaws.git,52759335e47137667dea4d1316af64ba7f7aeb4c,
FengHuang,https://github.com/TimYi/FengHuang.git,17acbe8aa85c4e06020926c75f5efb9ce734449d,
hexie,https://github.com/linknabor/hexie.git,c1d9a85ab38075bf653c47d003054794fc4ca4a1,
quizzes-tutor,https://github.com/socialsoftware/quizzes-tutor.git,6dcf668498be3d6e45c84ebf61e81b931bdc797b,
market-manage,https://github.com/JoleneOL/market-manage.git,0f3baa4ffaf5d87cf61d288ff1a8cdde5e939617,
fenixedu-academic,https://github.com/FenixEdu/fenixedu-academic,47eb18f83bf1a60803dd4dcd444cf70aff9a7852,
irida,https://github.com/phac-nml/irida.git,b1ea3274bcbc1231dc3355c5793aac66cafd982f,
